Date,Close,High,Low,Open,Volume
11/10/21,442.1437378,445.7295727,440.6369409,444.0129366,69429700
11/11/21,442.2867432,443.7363507,442.2676801,443.6600403,34848500
11/12/21,445.6246338,446.1872997,442.611011,443.5742341,53466700
11/15/21,445.7771912,447.09327,444.6327963,446.9311612,46980500
11/16/21,447.5415344,448.6954754,445.4339164,445.5101978,48857500
11/17/21,446.4543457,447.4556949,445.8249154,447.2744939,47858300
11/18/21,447.9707031,448.2377315,444.7377242,447.5033816,50625600
11/19/21,447.1696472,449.1246735,446.7976992,447.8562668,57315600
11/22/21,445.9108276,451.6042813,445.7010175,449.0770427,72762000
11/23/21,446.5020142,447.3698637,442.9352717,445.5769464,73206500
11/24/21,447.6941833,447.818166,443.6410556,444.4707501,61858800
11/26/21,437.709198,442.4108193,436.5647738,440.9230853,112669600
11/29/21,443.0783081,444.9475067,440.34126,442.5728605,86268800
11/30/21,434.4570923,442.5347376,434.209127,440.5987745,148559600
12/1/21,429.6314697,443.145085,429.4312057,440.255445,131939200
12/2/21,436.2118225,437.8044758,429.4502566,429.8508137,127637800
12/3/21,432.4161987,438.9774714,428.1246526,437.899841,137331600
12/6/21,437.5374451,439.4447989,432.5497043,435.000661,98977500
12/7/21,446.5878601,447.1600721,437.403946,442.8971348,95484700
12/8/21,447.7704773,448.2282528,445.2050835,446.9884842,72238800
12/9/21,444.7472229,447.8752819,444.5469589,446.4638297,61272600
12/10/21,448.9338989,449.0864907,444.8998639,447.4938665,77159800
12/13/21,444.9570618,448.7622235,444.6709412,448.4093677,87724700
12/14/21,441.895752,444.1655078,438.9298305,441.6382696,97264100
12/15/21,448.800415,449.0483513,439.3971444,441.953021,116899300
12/16/21,444.8426514,450.9652415,443.269061,450.67915,116568600
12/17/21,440.1082153,444.7689344,438.375998,441.7160145,135511600
12/20/21,435.4283752,435.8303104,431.7533932,434.9498615,107134800
12/21/21,443.1611633,443.3047116,436.7012275,438.9023792,69806300
12/22/21,447.5921936,447.7070322,442.7017679,442.9027647,58890200
12/23/21,450.3771667,451.898837,448.5014009,448.60666,56439700
12/27/21,456.7510071,456.7988468,451.7266121,451.7744518,56808600
12/28/21,456.3776855,458.2343212,455.6024956,457.1911647,47274600
12/29/21,456.9615173,457.9950942,455.4685567,456.4830036,54503000
12/30/21,455.6982117,458.4161662,455.2292775,457.3921398,55329000
12/31/21,454.5497131,456.3680593,454.2721962,455.2005139,65237400
1/3/22,457.1815491,457.3155469,453.4874373,455.8321369,72668200
1/4/22,457.0285034,459.3541026,455.1431579,458.6267523,71178700
1/5/22,448.2525635,457.4400337,448.1568549,456.6552641,104538900
1/6/22,447.8314514,450.5876953,445.429303,447.7836117,86858900
1/7/22,446.0609741,449.037345,444.6828521,447.8410606,85111600
1/10/22,445.5058594,445.725957,436.9787413,442.8166146,119362000
1/11/22,449.5636902,449.6593988,442.1945664,445.2379362,74303100
1/12/22,450.7790833,452.8654254,448.7884789,451.3245959,67605400
1/13/22,444.5679932,452.5591788,443.5248367,451.8988275,91173100
1/14/22,444.7498169,445.1039124,440.1369374,441.371511,95890900
1/18/22,436.8734436,440.19433,435.7441582,439.9837828,109709100
1/19/22,432.3371277,439.859349,432.0595816,438.4429672,109357600
1/20/22,427.5520325,439.0267828,425.3987206,434.2512249,122379700
1/21/22,419.158905,428.8057291,419.1301954,426.4131605,202271200
1/24/22,420.9389648,421.4557679,402.6788933,413.4645825,251783900
1/25/22,415.7997131,420.8241072,408.7942653,414.4503009,167997300
1/26/22,414.7565613,424.9584774,410.4307785,421.7811393,186391100
1/27/22,412.7085266,422.613767,410.9954684,419.4268783,149878300
1/28/22,422.958313,423.0061527,409.4355098,414.0866494,164457400
1/31/22,430.5762329,430.9303284,420.9102496,422.2787919,152251400
2/1/22,433.4855957,434.1363674,427.7338514,431.3131247,123155400
2/2/22,437.6964722,438.4333727,433.581237,435.9259657,117361000
2/3/22,427.4084778,433.5047381,426.5567093,431.5715532,118024400
2/4/22,429.4182129,433.3228719,424.7574648,427.1691926,118454400
2/7/22,428.0401306,431.6098245,426.6907183,430.1934425,84472900
2/8/22,431.5620117,432.4999092,426.0878129,427.5329339,81012000
2/9/22,437.8783569,438.2037428,435.4570786,435.6580462,92589900
2/10/22,430.0115662,438.041011,427.9826727,431.944751,140103700
2/11/22,421.5323181,432.2031687,420.0776469,430.0977258,153214600
2/14/22,420.1541748,422.6233219,416.6323208,421.0155229,123006300
2/15/22,426.9299622,427.1022201,424.1354291,424.6618117,88482700
2/16/22,427.4084778,428.8057297,422.9487262,424.8532016,84863600
2/17/22,418.2784424,427.3797834,417.66596,424.1737354,102259100
2/18/22,415.5700684,419.8096932,413.2636285,418.5368303,132642900
2/22/22,411.1102905,416.7854563,407.5596976,413.3306012,124391800
2/23/22,403.817749,414.6417273,403.2435267,414.067505,132578000
2/24/22,409.8948975,410.3351512,392.9938162,393.3574622,213942900
2/25/22,418.9387512,419.0248802,409.4737361,411.148534,121804500
2/28/22,417.8669434,419.3694836,412.191777,413.4646108,145615000
3/1/22,411.5026855,418.3837155,408.7559922,416.3452422,137785900
3/2/22,419.0727844,420.8241319,413.0243636,413.789974,117726500
3/3/22,416.9864807,422.1544238,415.1585545,421.5419414,105501700
3/4/22,413.5985718,414.7469872,409.4929158,413.1966074,113978200
3/7/22,401.4060974,413.7230385,401.3390985,413.0052678,137896600
3/8/22,398.3627625,408.8517774,397.2813165,401.587941,164772700
3/9/22,409.0431824,411.0529462,404.6504291,406.8707402,116990800
3/10/22,407.1960449,408.1052035,402.3726185,404.3632227,93972700
3/11/22,402.0185547,410.3446765,401.5017517,409.7226145,95636300
3/14/22,399.0805054,406.306052,397.9225102,402.8033567,95729200
3/15/22,407.8564148,408.4976069,400.4394518,401.7314155,106219100
3/16/22,416.9003296,416.9577489,406.5452847,411.4165805,144954800
3/17/22,422.1161499,422.1161499,414.5747681,414.9575733,102676900
3/18/22,426.7394409,427.0658376,419.7314485,420.4802478,106345500
3/21/22,426.6146851,428.6018641,423.0530617,426.5666674,88349800
3/22/22,431.6066895,432.5570807,428.0258765,428.0258765,74650400
3/23/22,426.0482788,430.5506842,425.9618823,429.0338961,79426100
3/24/22,432.4707031,432.4803125,426.9699179,428.1027117,64736900
3/25/22,434.5826416,434.86105,430.49303,433.113842,77101300
3/28/22,437.6738892,437.6738892,432.0578796,433.9778809,68529800
3/29/22,443.0882568,443.5874759,438.893059,441.6194571,86581500
3/30/22,440.3522644,442.7522658,438.2114526,441.9266501,79666900
3/31/22,433.574707,440.409907,433.1138962,439.5747111,121699900
4/1/22,434.8034973,435.3218766,431.1746961,435.1778823,89048800
4/4/22,438.5282898,438.6339051,434.1699079,435.0051038,59601000
4/5/22,432.9890747,439.5170671,431.8274822,437.0114796,74214500
4/6/22,428.6594238,430.9730286,425.7314339,429.0146486,106898000
4/7/22,430.8194885,432.6627027,425.7890944,427.7666934,78097200
4/8/22,429.6674805,432.60508,428.1026748,430.0514749,79272700
4/11/22,422.3235168,427.2003075,421.8147177,426.3458928,89770500
4/12/22,420.758667,427.9202632,419.184252,425.3570487,84363600
4/13/22,425.5778809,426.3458697,420.3266762,420.5090787,74070400
4/14/22,420.2786865,426.9410933,420.1730712,425.8082703,97869500
4/18/22,420.4514771,422.160277,418.1858603,419.3378728,66002500
4/19/22,427.2386475,427.9682279,420.1730283,420.3458213,77821000
4/20/22,426.921875,429.6674921,425.741093,429.0434975,65224400
4/21/22,420.5378113,432.0098288,419.616219,430.5986269,85417300
4/22/22,408.9986877,420.5570746,408.4226815,419.4338902,132471800
4/25/22,411.3699036,411.5426967,402.086684,406.7235038,119647700
4/26/22,399.4562378,408.9986457,399.4274389,408.7970245,103996300
4/27/22,400.5794373,406.003464,398.4098558,400.5506384,122030000
